what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.portal.ui,3.0.0.1312501587,"com.aptana.portal.ui",1326384150371
started,bundle,com.aptana.preview,3.0.0.1309394487,"com.aptana.preview",1326384150371
started,bundle,com.aptana.scripting,3.0.0.1313008478,"com.aptana.scripting",1326384150387
started,bundle,com.aptana.syncing.core,3.0.0.1308864319,"com.aptana.syncing.core",1326384150387
started,bundle,com.aptana.syncing.ui,3.0.3.1311889619,"com.aptana.syncing.ui",1326384150418
started,bundle,com.aptana.theme,3.0.0.1311121832,"com.aptana.theme",1326384150418
started,bundle,com.aptana.ui,3.0.3.1312062042,"com.aptana.ui",1326384150433
started,bundle,com.aptana.ui.epl,3.0.0.1311707931,"com.aptana.ui.epl",1326384150449
started,bundle,com.aptana.ui.io,3.0.0.1311879315,"com.aptana.ui.io",1326384150465
started,bundle,com.python.pydev.analysis,2.2.1.2011073123,"com.python.pydev.analysis",1326384150574
started,bundle,org.python.pydev,2.2.1.2011073123,"org.python.pydev",1326384150636
started,bundle,org.python.pydev.core,2.2.1.2011073123,"org.python.pydev.core",1326384150636
started,bundle,org.python.pydev.red_core,2.2.1.2011073123,"org.python.pydev.red_core",1326384150792
os,sysinfo,,,"win32",1326384150792
arch,sysinfo,,,"x86_64",1326384150792
ws,sysinfo,,,"win32",1326384150792
locale,sysinfo,,,"es_ES",1326384150792
processors,sysinfo,,,"4",1326384150792
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1326384150792
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1326384150792
java.specification.name,sysinfo,,,"Java Platform API Specification",1326384150792
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326384150792
java.specification.version,sysinfo,,,"1.6",1326384150792
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1326384150792
java.version,sysinfo,,,"1.6.0_17",1326384150792
java.vm.info,sysinfo,,,"mixed mode",1326384150792
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1326384150792
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326384150792
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326384150792
java.vm.specification.version,sysinfo,,,"1.0",1326384150792
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1326384150792
java.vm.version,sysinfo,,,"14.3-b01",1326384150792
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1326384150964
started,bundle,com.aptana.console,3.0.0.1311641900,"com.aptana.console",1326384152399
started,bundle,org.python.pydev.debug,2.2.1.2011073123,"org.python.pydev.debug",1326384152524
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1326384152617
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1326384153600
opened,editor,com.aptana.editor.css,3.0.3.1312492648,"com.aptana.editor.css",1326384154021
started,bundle,com.aptana.ruby.debug.ui,3.0.2.1311188101,"com.aptana.ruby.debug.ui",1326384155535
activated,editor,com.aptana.editor.css,3.0.3.1312492648,"com.aptana.editor.css",1326384155566
activated,editor,com.aptana.editor.css,3.0.3.1312492648,"com.aptana.editor.css",1326384173896
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326384607324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326384870971
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326384873249
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326384963725
started,bundle,com.aptana.editor.html,3.0.3.1312312167,"com.aptana.editor.html",1326384972407
started,bundle,com.aptana.editor.js,3.0.3.1312842772,"com.aptana.editor.js",1326384972517
started,bundle,com.aptana.editor.xml,3.0.0.1311799889,"com.aptana.editor.xml",1326384972563
started,bundle,com.aptana.editor.svg,3.0.3.1311639141,"com.aptana.editor.svg",1326384972579
started,bundle,com.aptana.webserver.core,3.0.0.1310755723,"com.aptana.webserver.core",1326384972704
opened,editor,com.aptana.editor.html,3.0.3.1312312167,"com.aptana.editor.html",1326384972969
started,bundle,com.aptana.debug.core,3.0.3.1310755723,"com.aptana.debug.core",1326384974186
started,bundle,com.aptana.js.debug.core,3.0.3.1311121832,"com.aptana.js.debug.core",1326384974201
started,bundle,com.aptana.js.debug.ui,3.0.0.1311123158,"com.aptana.js.debug.ui",1326384974248
activated,editor,com.aptana.editor.html,3.0.3.1312312167,"com.aptana.editor.html",1326384974264
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1326385023139
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1326385023170
activated,editor,com.aptana.editor.css,3.0.3.1312492648,"com.aptana.editor.css",1326385023841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326385169623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326396595324
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1326396600364
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1326396601020
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1326396601659
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1326396601675
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1326396601784
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1326396601831
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1326396601893
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1326396601971
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1326396601971
activated,perspective,com.aptana.ui,,"com.aptana.ui.WebPerspective",1328473393927
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1328473393928
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1328473393929
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1328473393929
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1328473393930
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1328473393930
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1328473393931
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1328473393932
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1328473393933
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1328473393933
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1328473393934
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1328473393934
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1328473393935
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1328473393935
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1328473393936
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1328473393937
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1328473393960
started,bundle,org.eclipse.emf.common.ui,2.6.0.v20100914-1218,"org.eclipse.emf.common.ui",1328473393962
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1328473393964
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1328473393965
started,bundle,org.eclipse.emf.edit,2.6.0.v20100914-1218,"org.eclipse.emf.edit",1328473393966
started,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1328473393967
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1328473393968
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1328473393969
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1328473393969
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1328473393970
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1328473393971
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1328473393972
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1328473393972
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1328473393973
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1328473393973
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1328473393975
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1328473393976
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1328473393978
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1328473393979
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1328473393980
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1328473393981
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1328473393981
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1328473393982
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1328473393983
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1328473393983
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1328473393984
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1328473393985
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1328473393986
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1328473393987
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1328473394061
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1328473394062
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1328473394063
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1328473394064
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1328473394067
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1328473394097
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1328473394099
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.403.v201012020600,"org.eclipse.jst.j2ee.navigator.ui",1328473394116
started,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1328473394161
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1328473394162
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1328473394163
started,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1328473394164
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1328473394165
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1328473394166
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1328473394167
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1328473394170
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1328473394173
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1328473394174
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1328473394175
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1328473394177
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1328473394177
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1328473394177
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1328473394178
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1328473394209
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1328473394210
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1328473394211
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1328473394212
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1328473394213
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1328473394214
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1328473394214
